Product Name,Price,Image URL,Product URL,User Rating,Review Count,Specifications,Brand,Product ID,Category
realme C60 4GB/64GB,2.790.000₫,,https://www.thegioididong.com/dtdd/realme-c60,4.3,3,"{'RAM': '4 GB', 'Dung lượng': '64 GB', 'Camera sau': 'Chính 13 MP & Phụ 0.08 MP', 'Camera trước': '5 MP'}",realme,322919,Điện thoại
realme C61,3.490.000₫,https://cdn.tgdd.vn/Products/Images/42/327975/realme-c61-gold-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c61-4gb-128gb,,0,"{'RAM': '4 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Cảm biến Flicker', 'Camera trước': '5 MP'}",realme,327975,Điện thoại
realme 13+ 5G,9.290.000₫,https://cdn.tgdd.vn/Products/Images/42/330620/realme-13-plus-tim-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-13-plus-5g-8gb-256gb,,0,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP, Flicker', 'Camera trước': '16 MP'}",realme,330620,Điện thoại
Samsung Galaxy S24 Ultra 5G,29.990.000₫,https://cdn.tgdd.vn/Products/Images/42/307174/samsung-galaxy-s24-ultra-grey-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,4.0,101,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 200 MP & Phụ 50 MP, 12 MP, 10 MP', 'Camera trước': '12 MP'}",Samsung,307174,Điện thoại
Samsung Galaxy A16,5.890.000₫,https://cdn.tgdd.vn/Products/Images/42/331207/samsung-galaxy-a16-green-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb,,0,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Phụ 5 MP, 2 MP', 'Camera trước': '13 MP'}",Samsung,331207,Điện thoại
Samsung Galaxy A16 5G,6.990.000₫,https://cdn.tgdd.vn/Products/Images/42/331204/samsung-galaxy-a16-5g-gold-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g,,0,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 5 MP, 2 MP', 'Camera trước': '13 MP'}",Samsung,331204,Điện thoại
Samsung Galaxy A55 5G,10.990.000₫,https://cdn.tgdd.vn/Products/Images/42/322096/samsung-galaxy-a55-5g-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g,3.8,67,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 12 MP, 5 MP', 'Camera trước': '32 MP'}",Samsung,322096,Điện thoại
Samsung Galaxy A06,2.890.000₫,https://cdn.tgdd.vn/Products/Images/42/328752/samsung-galaxy-a06-blue-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb,,0,"{'RAM': '4 GB', 'Dung lượng': '64 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '8 MP'}",Samsung,328752,Điện thoại
Samsung Galaxy S23 FE 5G,10.390.000₫,https://cdn.tgdd.vn/Products/Images/42/306994/samsung-galaxy-s23-fe-mint-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe,3.0,78,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Phụ 12 MP, 8 MP', 'Camera trước': '10 MP'}",Samsung,306994,Điện thoại
Samsung Galaxy Z Fold6 5G,41.990.000₫,https://cdn.tgdd.vn/Products/Images/42/320721/samsung-galaxy-z-fold6-xam-thumbn-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold6,4.9,25,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 12 MP, 10 MP', 'Camera trước': '10 MP & 4 MP'}",Samsung,320721,Điện thoại
